event_id,user_id,event_name,event_timestamp,device_type,country,plan_type
1,1,landing_page,2024-06-08 00:11:00,ios,CA,
2,1,signup,2024-06-08 00:47:00,ios,CA,free
3,1,verify_email,2024-06-08 01:05:00,ios,CA,free
4,1,login,2024-06-08 01:20:00,ios,CA,free
5,1,start_trial,2024-06-08 02:18:00,ios,CA,basic
6,1,subscribe,2024-06-08 02:31:00,ios,CA,pro
7,1,login,2024-06-08 03:11:00,ios,CA,pro
8,1,feature_use,2024-06-12 03:58:00,ios,CA,pro
9,1,login,2024-06-17 05:47:00,ios,CA,pro
10,1,feature_use,2024-06-18 07:17:00,ios,CA,pro
11,1,login,2024-06-21 07:56:00,ios,CA,pro
12,1,login,2024-06-23 08:07:00,ios,CA,pro
13,1,feature_use,2024-06-24 08:55:00,ios,CA,pro
14,1,feature_use,2024-06-24 09:06:00,ios,CA,pro
15,1,login,2024-06-26 10:48:00,ios,CA,pro
16,1,cancel,2024-06-30 11:18:00,ios,CA,pro
17,2,landing_page,2024-01-18 23:57:00,ios,IN,
18,2,signup,2024-01-19 00:11:00,ios,IN,free
19,2,verify_email,2024-01-19 00:25:00,ios,IN,free
20,2,login,2024-01-19 01:25:00,ios,IN,free
21,2,start_trial,2024-01-19 01:46:00,ios,IN,basic
22,2,feature_use,2024-01-19 02:20:00,ios,IN,basic
23,2,login,2024-01-23 02:50:00,ios,IN,basic
24,2,feature_use,2024-01-28 04:36:00,ios,IN,basic
25,3,landing_page,2024-05-31 10:17:00,android,UK,
26,3,signup,2024-05-31 10:25:00,android,UK,free
27,3,verify_email,2024-05-31 10:42:00,android,UK,free
28,3,login,2024-05-31 10:56:00,android,UK,free
29,3,start_trial,2024-05-31 11:56:00,android,UK,basic
30,3,login,2024-05-31 12:09:00,android,UK,basic
31,3,feature_use,2024-06-03 12:45:00,android,UK,basic
32,3,feature_use,2024-06-07 13:43:00,android,UK,basic
33,3,feature_use,2024-06-12 14:04:00,android,UK,basic
34,3,login,2024-06-12 15:46:00,android,UK,basic
35,3,login,2024-06-13 16:36:00,android,UK,basic
36,3,feature_use,2024-06-17 17:03:00,android,UK,basic
37,3,feature_use,2024-06-21 18:30:00,android,UK,basic
38,3,feature_use,2024-06-25 19:24:00,android,UK,basic
39,3,login,2024-06-30 19:36:00,android,UK,basic
40,3,feature_use,2024-07-05 20:47:00,android,UK,basic
41,3,login,2024-07-06 22:39:00,android,UK,basic
42,3,login,2024-07-10 23:00:00,android,UK,basic
43,3,feature_use,2024-07-14 23:33:00,android,UK,basic
44,3,login,2024-07-16 00:56:00,android,UK,basic
45,3,login,2024-07-20 02:14:00,android,UK,basic
46,4,landing_page,2024-01-29 17:46:00,android,AU,
47,4,signup,2024-01-29 17:59:00,android,AU,free
48,5,landing_page,2024-07-17 06:16:00,android,US,
49,5,signup,2024-07-17 07:01:00,android,US,free
50,5,verify_email,2024-07-17 07:42:00,android,US,free
51,5,login,2024-07-17 08:29:00,android,US,free
52,5,start_trial,2024-07-17 09:23:00,android,US,basic
53,5,subscribe,2024-07-17 10:19:00,android,US,pro
54,5,login,2024-07-17 11:03:00,android,US,pro
55,5,feature_use,2024-07-22 12:22:00,android,US,pro
56,5,feature_use,2024-07-22 13:36:00,android,US,pro
57,5,feature_use,2024-07-24 15:36:00,android,US,pro
58,5,login,2024-07-26 17:36:00,android,US,pro
59,5,feature_use,2024-07-29 18:59:00,android,US,pro
60,5,login,2024-07-31 19:38:00,android,US,pro
61,5,feature_use,2024-07-31 21:31:00,android,US,pro
62,5,login,2024-08-02 22:31:00,android,US,pro
63,5,feature_use,2024-08-03 23:12:00,android,US,pro
